NAME;CATEGORY
CHILDRENS HOSPITAL OF SAN ANTONIO;PHARMACY
CHILDRENS MED CTR OF DALLAS;PHARMACY
CHILDRENS MEDICAL CENTER;PHARMACY
CHILDRENS PAVILION SURGERY;PHARMACY
CHILDRENS SPECIALTY PHARMACY;PHARMACY
CHILDRESS OUTPOST PHARMACY;PHARMACY
CHILDRESS REGIONAL MEDICAL CTR;PHARMACY
CHILLICOTHE HOSPITAL;PHARMACY
CHINA FAMILY PHARMACY;PHARMACY
CHOICE PHARMACY;PHARMACY
CHOICE SOURCE THERAPEUTIC;PHARMACY
CHRISCO PHARMACY;PHARMACY
CHRIST CLINIC;PHARMACY
CHRISTUS DUBUIS HOSPITAL OF;PHARMACY
CHRISTUS HOSPITAL- ST. MARY;PHARMACY
CHRISTUS HOSPITAL-ST ELIZABETH;PHARMACY
CHRISTUS JASPER MEMORIAL HOSP;PHARMACY
CHRISTUS SANTA ROSA EMERGENCY CENTER;PHARMACY
CHRISTUS SANTA ROSA HOSPITAL - ALAMO HEI;PHARMACY
CHRISTUS SANTA ROSA HOSPITAL;PHARMACY
CHRISTUS SANTA ROSA PHYSICIANS;PHARMACY
CHRISTUS SPOHN HEALTH SYSTEM;PHARMACY
CHRISTUS SPOHN HOSPITAL ALICE;PHARMACY
CHRISTUS SPOHN HOSPITAL BEEVIL;PHARMACY
CHRISTUS SPOHN HOSPITAL KLEBER;PHARMACY
CHRISTUS SPOHN HOSPITAL;PHARMACY
CHRISTUS ST MICHAEL HOSPTIAL - ATLANTA;PHARMACY
CHRISTUS ST. CATHERINE HEALTH;PHARMACY
CHRISTUS ST. JOHN HOSPITAL;PHARMACY
CHRISTUS ST. MICHAEL HEALTH;PHARMACY
CHRISTUS ST. MICHAEL;PHARMACY
CHRISTUS SURGERY CENTER - NASS;PHARMACY
CIGNA HOME DELIVERY PHARMACY;PHARMACY
CINCINNATI CLINICAL;PHARMACY
CIRCLE DRUG PHARMACY;PHARMACY
CITIZENS MEDICAL CENTER;PHARMACY
CITIZENS PROFESSIONAL PHCY;PHARMACY
CITY DRUG CO. OF JEFFERSON TX;PHARMACY
CITY DRUG CO;PHARMACY
CITY DRUG OF BRADY INC;PHARMACY
CITY DRUG STORE OF YOAKUM INC;PHARMACY
CITY DRUG STORE;PHARMACY
CITY OF AMARILLO DEPARTMENT OF;PHARMACY
CITY OF AUSTIN DEPT. OF HEALTH;PHARMACY
CITY OF EL PASO DEPT OF;PHARMACY
CITY OF HOUSTON CENTRAL JAIL;PHARMACY
CITY OF HOUSTON JAIL MEDICAL;PHARMACY
CITY OF LAREDO HEALTH DEPT;PHARMACY
CITY PHARMACY;PHARMACY
CIVIC CENTER PHARMACY;PHARMACY
CK PHARMACY;PHARMACY
CKS PHARMACY;PHARMACY
CLARENDON OUTPOST;PHARMACY
CLARITY CHILD GUIDANCE CENTER;PHARMACY
CLARK PHARMACY;PHARMACY
CLARKS PHARMACY;PHARMACY
CLARKSBURG VAMC;PHARMACY
CLAUDE PHARMACY INC;PHARMACY
CLAUDES PHARMACY;PHARMACY
CLAY COUNTY MEMORIAL HOSPITAL;PHARMACY
CLEAR LAKE PROF BLDG PHCY;PHARMACY
CLEAR LAKE REGIONAL MEDICAL;PHARMACY
CLEARVIEW SURGERY CENTER;PHARMACY
CLEBURNE DRUG INC;PHARMACY
CLEVELAND PHARMACY;PHARMACY
CLEVELAND REG MED CNTR PHCY;PHARMACY
CLEVELAND VAMC;PHARMACY
CLINIC FOR SPECIAL SURGERY;PHARMACY
CLINIC PHARMACY;PHARMACY
CLOVERLAND DRUGS;PHARMACY
CME PHARMACY;PHARMACY
COACHS PHARMACY;PHARMACY
COASTAL BEND AMBULATORY;PHARMACY
COASTAL MEDS LLC;PHARMACY
COBBS PHARMACY;PHARMACY
COBELLI PHARMACY;PHARMACY
COBURNS PHARMACY;PHARMACY
COCHRAN MEMORIAL HOSPITAL;PHARMACY
CODY DRUG;PHARMACY
COGDELL MEMORIAL HOSPITAL;PHARMACY
COIT ROAD PHARMACY;PHARMACY
COLBERT PHARMACY;PHARMACY
COLEMAN COUNTY MEDICAL CENTER;PHARMACY
COLLEGE PARK PHARMACY;PHARMACY
COLLEGE PHARMACY;PHARMACY
COLLEGE STATION MEDICAL CENTER;PHARMACY
COLLIN COUNTY ADULT CLINIC;PHARMACY
COLLIN COUNTY HEALTH CARE;PHARMACY
COLLINGSWORTH GEN. HOSPITAL;PHARMACY
COLLINS FAMILY PLANNING CLINIC;PHARMACY
COLLOM  CARNEY CLINIC PHCY;PHARMACY
COLUMBUS COMMUNITY HOSPITAL;PHARMACY
COMAL CO. HEALTH DEPARTMENT;PHARMACY
COMAL DRUG;PHARMACY
COMANCHE COUNTY MEDICAL CENTER PHARMACY;PHARMACY
COMANCHE PHARMACY;PHARMACY
COMMCARE PHARMACY - FTL;PHARMACY
COMMUNITY A WALGREENS PHARMACY;PHARMACY
COMMUNITY ACTION HEALTH CLINIC;PHARMACY
COMMUNITY CARE PHARMACY;PHARMACY
COMMUNITY COMPOUNDING PHARMACY;PHARMACY
COMMUNITY HEALTH SERVICES;PHARMACY
COMMUNITY PHARMACY;PHARMACY
COMMUNITY SURGERY CENTER;PHARMACY
COMMUNITY WOMENS CLINIC;PHARMACY
COMMUNITYCARE - EAST AUSTIN;PHARMACY
COMMUNITYCARE - RUNDBERG;PHARMACY
COMMUNITYCARE-A.K. BLACK;PHARMACY
COMMUNITYCARE-ARCH;PHARMACY
COMMUNITYCARE-DAVID POWELL;PHARMACY
COMMUNITYCARE-DEL VALLE;PHARMACY
COMMUNITYCARE-MANOR;PHARMACY
COMMUNITYCARE-MONTOPOLIS;PHARMACY
COMMUNITYCARE-NORTH CENTRAL;PHARMACY
COMMUNITYCARE-OAK HILL;PHARMACY
COMMUNITYCARE-PFLUGERVILLE;PHARMACY
COMMUNITYCARE-RBJ PHARMACY;PHARMACY
COMMUNITYCARE-ROSEWOOD;PHARMACY
COMMUNITYCARE-SOUTH AUSTIN;PHARMACY
COMMUNITYCARE-WM. CANNON;PHARMACY
COMPLETE CARE PHARMACY;PHARMACY
COMPLETE CARE PHARMACY-EAST;PHARMACY
COMPLETE EMERGENCY CARE EL PASO;PHARMACY
COMPLETE PHARMACY AND MEDICAL;PHARMACY
COMPLETE PHARMACY CARE;PHARMACY
COMPLETE RX PHARMACY;PHARMACY
COMPOUND CARE PLUS PHARMACY;PHARMACY
COMPOUND PHARMACEUTICAL;PHARMACY
COMPOUNDING CORNER PHARMACY;PHARMACY
COMPOUNDING PHARMACY SOLUTIONS;PHARMACY
COMPOUNDING SOLUTIONS;PHARMACY
COMPRECARE;PHARMACY
COMPREHENSIVE CARE CENTER;PHARMACY
CONCEPTION PHARMACY;PHARMACY
CONCHO COUNTY HOSPITAL;PHARMACY
CONNALLY MEMORIAL MEDICAL CNTR;PHARMACY
CONOLY DRUG INC;PHARMACY
CONQUEST PLAZA PHARMACY;PHARMACY
CONROE EMERGENCY CENTER;PHARMACY
CONROE REGIONAL MEDICAL CENTER;PHARMACY
CONTINENTAL AIRLINES WHOLE;PHARMACY
CONTINENTAL PHARMACY OF EL;PHARMACY
CONTINUE CARE HOSP @ TRINITY;PHARMACY
CONTINUE CARE OF MIDLAND;PHARMACY
CONTINUUM REHABILITATION;PHARMACY
CONTRACT PHARMACY SERVICES;PHARMACY
CONVERSIO HEALTH;PHARMACY
COOK CHILDRENS HOME HEALTH;PHARMACY
COOK CHILDRENS MEDICAL CENTER;PHARMACY
COOK CHILDRENS NORTHEAST HOSP;PHARMACY
COOK CHILDRENS PEDIATRIC;PHARMACY
COOK CHILDRENS PHARMACY ;PHARMACY
COON MEMORIAL HOSPITAL;PHARMACY
COOPER COMMUNITY HEALTH CENTER;PHARMACY
COPC PHARMACY SOUTHEAST CAMPUS;PHARMACY
CORAM SPECIALTY INFUSION SRVCS;PHARMACY
CORAM SPECIALTY INFUSION SVCS;PHARMACY
CORAM SPECIALTY INFUSION;PHARMACY
CORNER DRUG STORE;PHARMACY
CORNERSTONE HOSPITAL OF AUSTIN;PHARMACY
CORNERSTONE HOSPITAL OF HOUSTON-CLEARLAK;PHARMACY
CORNERSTONE HOSPITAL OF SOUTH HOUSTON;PHARMACY
CORNERSTONE HOSPITAL OF;PHARMACY
CORNERSTONE PHARMACY;PHARMACY
CORNERSTONE REGIONAL HOSPITAL;PHARMACY
CORNERSTONE SPECIALTY PHARMACY LLC;PHARMACY
CORPUS CHRISTI STATE SUPPORTED;PHARMACY
CORPUS CHRISTI-NUECES COUNTY;PHARMACY
CORPUS CHRISTI/NUECES COUNTY;PHARMACY
CORRECT RX PHARMACY SERVICES;PHARMACY
CORSICANA-NAVARRO HEALTH DEPT;PHARMACY
CORYELL MEMORIAL HOSPITAL;PHARMACY
COSTCO PHARMACY;PHARMACY
COUNTRY DRUG STORE;PHARMACY
COUNTRY PLACE PHARMACY;PHARMACY
COUNTY DRUG;PHARMACY
COUNTY PHARMACY;PHARMACY
COURAGE PHARMACY;PHARMACY
COURTYARD PHARMACY;PHARMACY
COVANCE SPECIALTY PHARMACY;PHARMACY
COVENANT CHILDRENS HOSPITAL;PHARMACY
COVENANT HOSPITAL LEVELLAND;PHARMACY
COVENANT HOSPITAL;PHARMACY
COVENANT MEDICAL CENTER/PHCY;PHARMACY
COVENANT MEDICAL CTR-LAKESIDE;PHARMACY
COVENANT REGIONAL PHARMACY;PHARMACY
COVENANT SPECIALTY HOSPITAL;PHARMACY
COVENANT SURGICENTER;PHARMACY
COZBY-GERMANY HOSPITAL;PHARMACY
CRAIG PHARMACY;PHARMACY
CRANDALL PHARMACY;PHARMACY
CRANE COUNTY HOSPITAL DISTRICT;PHARMACY
CRANE PHARMACY;PHARMACY
CRAWFORD HUNTLEIGH PHARMACY;PHARMACY
CRAWFORD OAKS PHARMACY;PHARMACY
CRAWFORD PHARMACY;PHARMACY
CREEKSIDE SURGERY CENTER;PHARMACY
CRENSHAW PHARMACY;PHARMACY
CRESCENT MEDICAL CENTER LANCASTER;PHARMACY
CRISALIDE;PHARMACY
CROSBYTON CLINIC HOSPITAL;PHARMACY
CROSS PHARMACY PORTAL;PHARMACY
CROSS TIMBERS HEALTH CLINICS;PHARMACY
CROSSWAY PHARMACY;PHARMACY
CRUCES PHARMACY;PHARMACY
CRYSONCARE PHARMACY;PHARMACY
CRYSTAL OUTPATIENT SURGERY;PHARMACY
CSA PHARMACY;PHARMACY
CUERO COMMUNITY HOSPITAL;PHARMACY
CUERO-DEWITT COUNTY HEALTH;PHARMACY
CULLEN CARE PHARMACY;PHARMACY
CUNNINGHAM AIRLINE PHARMACY;PHARMACY
CUNNINGHAM PHARMACY GULFBANK;PHARMACY
CUNNINGHAM PHARMACY-NORTHWEST;PHARMACY
CURASCRIPT SP SPECIALTY PHY;PHARMACY
CURASCRIPT SP SPECIALTY;PHARMACY
CUSTOM COMPOUNDING CENTER;PHARMACY
CUSTOM COMPOUNDING CENTERS LLC;PHARMACY
CUSTOM PHARMACY SOLUTIONS;PHARMACY
CUSTOM PRESCRIPTIONS;PHARMACY
CUSTOM SCRIPTS PHARMACY;PHARMACY
CUT-RATE PHARMACY;PHARMACY
CVS CAREMARK;PHARMACY
CVS PHARMACY;PHARMACY
CY SPRINGS PHARMACY;PHARMACY
CY-FAIR EMERGENCY  IMAGING CENTER AT BA;PHARMACY
CY-FAIR EMERGENCY  IMAGING CENTER;PHARMACY
CY-FAIR SURGERY CENTER;PHARMACY
CYCLOTOPE;PHARMACY
CYFAIR PHARMACY;PHARMACY
CYNTRIST PHARMACY;PHARMACY
CYPRESS COMPOUNDING PHARMACY;PHARMACY
CYPRESS FAIRBANKS MEDICAL CNTR;PHARMACY
CYPRESS PHARMACY;PHARMACY
CYRIL HOME CARE PHARMACY;PHARMACY
CYSTIC FIBROSIS SERVICES INC;PHARMACY
D  G PHARMACY;PHARMACY
D  R PHARMACARE;PHARMACY
D US PHARMACY;PHARMACY
DA VINCI SURGERY CENTER;PHARMACY
DAAROO PHARMACY;PHARMACY
DABNEY PHARMACY;PHARMACY
DADS PHARMACY;PHARMACY
DAKES DRUG STORE;PHARMACY
DAL-HERN PHARMACY;PHARMACY
DALLAS BEHAVIORAL HEALTHCARE HOSPITAL;PHARMACY
DALLAS COUNTY HEALTH DEPT;PHARMACY
DALLAS DAY SURGERY OF TEXAS;PHARMACY
DALLAS HEALTHCARE PHARMACY;PHARMACY
DALLAS ID ASSOCIATES INFUSION;PHARMACY
DALLAS INTER TRIBAL CENTER;PHARMACY
DALLAS IVF SURGERY CENTER LLC;PHARMACY
DALLAS MEDICAL CENTER;PHARMACY
DALLAS MENTAL HEALTH CLINIC ;PHARMACY
DALLAS MH CLINIC PHARMACY;PHARMACY
DALLAS REGIONAL MEDICAL CENTER;PHARMACY
DALLAS SURGICENTER;PHARMACY
DALTON PHARMACY;PHARMACY
DANA DISCOUNT PHARMACY;PHARMACY
DANAS PHARMACY;PHARMACY
DANDY DRUG;PHARMACY
DANE DRUGS;PHARMACY
DANNER PHARMACY;PHARMACY
DANNYS DRUG  SODA FOUNTAIN;PHARMACY
DAPO PHARMACY INC;PHARMACY
DARCY PHARMACY;PHARMACY
DASHWOOD PHARMACY;PHARMACY
DAVES PHARMACY;PHARMACY
DAVID PHARMACY;PHARMACY
DAVIES DRUG;PHARMACY
DAVIES PHARMACY;PHARMACY
DAVILA PHARMACY INC;PHARMACY
DAVIS CITY PHARMACY;PHARMACY
DAVIS DRUG;PHARMACY
DAVITA RX;PHARMACY
DAY SURGERY CENTER DENTON;PHARMACY
DAYSPRING PHARMACY;PHARMACY
DAYTIME PHARMACY;PHARMACY
DB PHARMACY;PHARMACY
DCA PHARMACY;PHARMACY
DCI PHARMACY SERVICES;PHARMACY
DCI PHARMACY-KANSAS CITY;PHARMACY
DCRX INFUSION;PHARMACY
DE HARO-SALDIVAR HEALTH;PHARMACY
DEANGELO PHARMACY;PHARMACY
DEEPWATER SCHOOL BASED CLINIC;PHARMACY
DEFELICE MOBILITY;PHARMACY
DEGC ENTERPRISES US INC;PHARMACY
DEHARO-SALDIVAR WHC PHARMACY;PHARMACY
DEHAVEN SURGICAL CENTER;PHARMACY
DEKALB PHARMACY;PHARMACY
DELL CHILDRENS MEDICAL CENTER;PHARMACY
DELLS PHARMACY;PHARMACY
DENNIS PHARMACY;PHARMACY
DENTON CO. HEALTH DEPARTMENT;PHARMACY
DENTON PRESCRIPTION SHOP;PHARMACY
DENTON REGIONAL MEDICAL CENTER;PHARMACY
DENTON STATE SUPPORTED LIVING;PHARMACY
DENVER CITY PHARMACY;PHARMACY
DEPAUL CENTER;PHARMACY
DEPOT DRUG;PHARMACY
DERMATOLOGY SURGERY CENTER;PHARMACY
DERMATRAN HEALTH SOLUTIONS;PHARMACY
DESTREHAN DISCOUNT PHARMACY;PHARMACY
DETAR HOSPITAL NAVARRO;PHARMACY
DETAR HOSPITAL NORTH;PHARMACY
DETENTION HEALTHCARE PHARMACY;PHARMACY
DEVEREUX TX TREATMENT NETWORK;PHARMACY
DEXTER SPECIALTY PHARMACY;PHARMACY
DFW PRESCRIPTION INC;PHARMACY
DFW WELLNESS PHARMACY;PHARMACY
DIABETES SPECIALTY CENTER;PHARMACY
DIABETIC CARE RX;PHARMACY
DIABETIC CARE SERVICES PHY;PHARMACY
DIAGNOSTIC CLINIC OF LONGVIEW;PHARMACY
DIAMOND PHARMACY SERVICES;PHARMACY
DIAMOND PHARMACY;PHARMACY
DIAMONDBACK DRUGS;PHARMACY
DICKINSON SURGERY CENTER;PHARMACY
DIGESTIVE HEALTH ASSOCIATES;PHARMACY
DIMENSION PHARMACY;PHARMACY
DIMMIT REGIONAL HOSPITAL;PHARMACY
DIMMITT PHARMACY;PHARMACY
DIPLOMAT PHARMACY SERVICES;PHARMACY
DIPLOMAT SPECIALTY PHARMACY;PHARMACY
DIRECT SUCCESS SPECIALTY PHARMACY;PHARMACY
DISCOUNT DRUG MART;PHARMACY
DISCOUNT MED PHARMACY;PHARMACY
DISCOUNT PHARMACY;PHARMACY
DISMUKES PHARMACY;PHARMACY
DISTINGUISHED PHARMACY;PHARMACY
DIVERSIFIED PHARMACY CARE;PHARMACY
DIVINE PHARMACY ;PHARMACY
DLS PHARMACY;PHARMACY
DOC LANES VETERINARY PHARMACY LLC;PHARMACY
DOCS DRUG STORE;PHARMACY
DOCS DRUGSTORE OF EARLY;PHARMACY
DOCTORS DIAGNOSTIC HOSPITAL PH;PHARMACY
DOCTORS HOSPITAL AT WHITE ROCK;PHARMACY
DOCTORS HOSPITAL OF LAREDO;PHARMACY
DOCTORS HOSPITAL TIDWELL;PHARMACY
DOCTORS OUTPATIENT SURGICENTER;PHARMACY
DOCTORS PHARMACY;PHARMACY
DOCTORS SPECIALTY PHARMACY;PHARMACY
DOCTORS HOSPITAL AT;PHARMACY
DODSON SURGERY CENTER;PHARMACY
DOLLAR RX PHARMACY;PHARMACY
DOLLAR VALUE PHARMACY;PHARMACY
DONATED PHARMACY;PHARMACY
DOUGHERTYS PHARMACY - FOREST PARK DALLA;PHARMACY
DOUGHERTYS AIRWAY PHARMACY;PHARMACY
DOW PHARMACY;PHARMACY
DOWNTOWN PHARMACY;PHARMACY
DOYFRAN PHARMACY;PHARMACY
DOYLE HIGHS THE DRUG STORE;PHARMACY
DOYLES PHARMACY INC;PHARMACY
DR PHARMACY;PHARMACY
DR RITAS PHARMACY INC;PHARMACY
DR. DEANOS PHARMACY;PHARMACY
DREAM PHARMACY MEMORIAL;PHARMACY
DRIPPING SPRINGS PHARMACY;PHARMACY
DRISCOLL CHILDRENS HOSPITAL;PHARMACY
DRS FOSTER  SMITH PHARMACY;PHARMACY
DRUG CRAFTERS;PHARMACY
DRUG EMPORIUM;PHARMACY
DRUG;PHARMACY
DS PHARMACY INC;PHARMACY
DT PHARMACY;PHARMACY
DUBUIS HOSPITAL AT TEXARKANA;PHARMACY
DUBUIS HOSPITAL OF CORPUS;PHARMACY
DUBUIS HOSPITAL OF PARIS;PHARMACY
DUBUIS HOSPITAL OF TEXARKANA;PHARMACY
DUNAMIS PHARMACY;PHARMACY
DUSINI DRUG;PHARMACY
DUTTON PHARMACY;PHARMACY
DYER DRUG STORE;PHARMACY
DYM PHARMACY;PHARMACY
E  E PHARMACY;PHARMACY
E A HAWSE PHARMACY;PHARMACY
E-CARE EMERGENCY CENTER NORTH TARRANT;PHARMACY
E-CARE EMERGENCY CENTER;PHARMACY
E-CARE EMERGENCY CENTERS FRISCO;PHARMACY
E-MED PHARMACY LLC;PHARMACY
E.A. SQUATTY LYONS PHARMACY;PHARMACY
EAGLE PHARMACY;PHARMACY
EAGLE PHARMACY-TEXAS;PHARMACY
EARTHS WAY;PHARMACY
EAST DALLAS HEALTH CENTER;PHARMACY
EAST DALLAS WHC PHARMACY;PHARMACY
EAST EL PASO PHYSICIANS;PHARMACY
EAST EL PASO SURGERY CENTER;PHARMACY
EAST END PHARMACY INC;PHARMACY
EAST LOOP SURGERY CENTER;PHARMACY
EAST POINTE PHARMACY SVCS INC;PHARMACY
EAST SIDE SURGERY CENTER;PHARMACY
EAST TEXAS COMMUNITY HEALTH;PHARMACY
EAST TEXAS EYE ASSOCIATES;PHARMACY
EAST TEXAS MED CENTER CROCKETT;PHARMACY
EAST TEXAS MED CTR REHAB HOSP;PHARMACY
EAST TEXAS MED CTR-CLARKSVILLE;PHARMACY
EAST TEXAS MED. CENTER ATHENS;PHARMACY
EAST TEXAS MEDICAL CENTER FAIRFIELD;PHARMACY
EAST TEXAS MEDICAL CENTER;PHARMACY
EAST TEXAS MEDICAL CTR-QUITMAN;PHARMACY
EAST TEXAS SPECIALTY HOSPITAL;PHARMACY
EAST TX BEHAVIORAL HEALTHCARE;PHARMACY
EAST TX MEDICAL CENTER-TRINITY;PHARMACY
EASTERN STATES COMPOUNDING PHARMACY;PHARMACY
EASTLAKE PHARMACY;PHARMACY
EASTLAND DRUG COMPANY INC;PHARMACY
EASTLAND MEMORIAL HOSP. PHCY;PHARMACY
EASTSIDE COMMUNITY CLINIC;PHARMACY
EBJ AT BILLY EARL DADE YFC PHARMACY;PHARMACY
ECHARD DRUG CO;PHARMACY
ECHO DRUGS;PHARMACY
ECHO PHARMACY;PHARMACY
ECO PHARMACY OF WILLOWBROOK LLC;PHARMACY
ECOMPOUNDING PHARMACY;PHARMACY
ECONOMY DRUG;PHARMACY
ECONOMY PHARMACY;PHARMACY
ECTOR COUNTY HEALTH DEPARTMENT;PHARMACY
EDS PHARMACY;PHARMACY
EDGE MEDICAL SOLUTIONS;PHARMACY
EDINBURG FAMILY PHARMACY;PHARMACY
EDINBURG REGIONAL MEDICAL;PHARMACY
EFFICACY HEALTH SERVICES LLC;PHARMACY
EL BUEN SAMARITANO FAMILY;PHARMACY
EL CAMPO MEMORIAL HOSPITAL;PHARMACY
EL CAMPO PROFESSIONAL PHARMACY;PHARMACY
EL FRANCO LEE COMMUNITY HEALTH;PHARMACY
EL PASO CENTER FOR;PHARMACY
EL PASO CHILDRENS HOSPITAL;PHARMACY
EL PASO DAY SURGERY;PHARMACY
EL PASO LTAC HOSPITAL PHARMACY;PHARMACY
EL PASO PSYCHIATRIC CENTER;PHARMACY
EL PASO SPECIALTY HOSPITAL;PHARMACY
EL PASO STATE SUPPORTED LIVING;PHARMACY
EL RIO FAMILY CENTER PHARMACY;PHARMACY
EL RIO PHARMACY;PHARMACY
ELAM ROAD PHARMACY;PHARMACY
ELECTRA MEMORIAL HOSPITAL;PHARMACY
ELGIN MEDICINE SHOP;PHARMACY
ELITE CARE EMERGENCY CENTER;PHARMACY
ELITE CENTER FOR MINIMALLY INVASIVE SURG;PHARMACY
ELITE COMPOUNDING PHARMACY;PHARMACY
ELITE PHARMACY INC;PHARMACY
ELITE PHARMACY;PHARMACY
ELITE RX;PHARMACY
ELKHART PHARMACY;PHARMACY
ELLA PHARMACY;PHARMACY
ELM PLACE AMBULATORY SURGICAL;PHARMACY
EMBRACE PHARMACY;PHARMACY
EMERALD PHARMACY;PHARMACY
EMERGENCY CARE OF EAST HOUSTON;PHARMACY
EMERGENCY CARE OF LIVINGSTON LLC;PHARMACY
EMERGICARE;PHARMACY
EMERUS HOSPITAL;PHARMACY
EMERUS;PHARMACY
EMPIRE PHARMACY;PHARMACY
EMPIRICAL PHARMACY;PHARMACY
EMPOWER PHARMACY;PHARMACY
ENCINO CARE PHARMACY II;PHARMACY
ENCINO PHARMACY;PHARMACY
ENCLARA HEALTH;PHARMACY
ENDOSCOPY CENTER AT CENTRAL;PHARMACY
ENDOSCOPY CENTER AT MEDPOINT;PHARMACY
ENDOSCOPY CENTER OF EL PASO;PHARMACY
ENDOSCOPY CENTER OF TYLER;PHARMACY
ENDOSCOPY CENTER;PHARMACY
ENGLISH PHARMACY;PHARMACY
ENNIS REGIONAL MEDICAL CENTER;PHARMACY
ENNIS STREET PHARMACY;PHARMACY
ENTERPRISE PHARMACY;PHARMACY
ENTIRELYPETS PHARMACY LLC;PHARMACY
ENTRUST RX;PHARMACY
ENVISION TELEPHARMACY;PHARMACY
EPPYS DRUG;PHARMACY
ER 24-7 PLUS;PHARMACY
ER AT ALLIANCE;PHARMACY
ER AT GRAND PRAIRIE/MCA;PHARMACY
ERCA CAMP BOWIE LLC;PHARMACY
ERIE VAMC;PHARMACY
ERNIES PHARMACY;PHARMACY
ESCOBEDOS PHARMACY;PHARMACY
ESPLANADE REHABILITATION HOSPITAL;PHARMACY
ESSENTIAL PHARMACY COMPOUNDING;PHARMACY
ETHICUS HOSPITAL DFW;PHARMACY
EUBANK DRUG;PHARMACY
EVANS PHARMACY;PHARMACY
EVERCARE PHARMACY;PHARMACY
EVEREST PHARMACY;PHARMACY
EVERETTS PHARMACY SONORA;PHARMACY
EVERETTS PHARMACY;PHARMACY
EVERGREEN PHARMACY;PHARMACY
EXACTUS PHARMACY SOLUTIONS INC;PHARMACY
EXCEL PHARMACY;PHARMACY
EXPERIANCARE PHARMACY;PHARMACY
EXPRESS CARE PHARMACY;PHARMACY
EXPRESS DRUGS;PHARMACY
EXPRESS PHARMACY SERVICES OF;PHARMACY
EXPRESS PHARMACY;PHARMACY
EXPRESS PLUS PHARMACY LLC;PHARMACY
EXPRESS RX PHARMACY;PHARMACY
EXPRESS SCRIPTS SPECIALTY;PHARMACY
EXPRESS SCRIPTS;PHARMACY
EXPRESS SPECIALTY PHARMACY;PHARMACY
EXTEND CARE PHARMACY SERVICES;PHARMACY
EXTENDED CARE PHARMACY LLC;PHARMACY
EZ SCRIPTS;PHARMACY
F STREET PHARMACY;PHARMACY
FACIAL PLASTIC  COSMETIC;PHARMACY
FACTOR SUPPORT NETWORK PHY INC;PHARMACY
FAIR OAKS YFC PHARMACY;PHARMACY
FAIRFIELD PHARMACY / COMPOUNDING;PHARMACY
FAIRVIEW HOME INFUSION PHARMACY;PHARMACY
FAIRVIEW SPECIALTY SERVICES;PHARMACY
FAIRWAY PHARMACY;PHARMACY
FAITH COMMUNITY HOSPITAL;PHARMACY
FAITH PHARMACY;PHARMACY
FAITH SURGICAL CENTER;PHARMACY
FALLBROOK PHARMACY;PHARMACY
FALLS COMMUNITY HOSP  CLINIC;PHARMACY
FAMAK PHARMACY;PHARMACY
FAMILY CARE PHARMACIES;PHARMACY
FAMILY CARE PHARMACY;PHARMACY
FAMILY DISCOUNT PHARMACY;PHARMACY
FAMILY FIRST PHARMACY;PHARMACY
FAMILY HEALTH CENTER PHARMACY;PHARMACY
FAMILY HEALTH CENTER;PHARMACY
FAMILY HEALTH PHARMACY;PHARMACY
FAMILY INSTITUTIONAL PHARMACY;PHARMACY
FAMILY PHARMACY CARE;PHARMACY
FAMILY PHARMACY INC;PHARMACY
FAMILY PHARMACY OF POTTSBORO;PHARMACY
FAMILY PHARMACY SOUTH;PHARMACY
FAMILY PHARMACY;PHARMACY
FAMILY PLANNING ASSOCIATES OF;PHARMACY
FAMILY PLANNING ASSOCIATES;PHARMACY
FAMILY PLANNING CLINIC;PHARMACY
FAMILYCARE PHARMACY;PHARMACY
FANNIN  PHARMACY;PHARMACY
FANNIN SURGICARE;PHARMACY
FARMA PHARMACY ;PHARMACY
FARMACIA CENTRAL;PHARMACY
FARMACIA DEL SOL;PHARMACY
FARMACIA DI MAURO;PHARMACY
FARMACIA ETC;PHARMACY
FARMACIA FAMILIAR DE HARWIN;PHARMACY
FARMACIA LA CRUZ;PHARMACY
FARMACIA LA PAZ;PHARMACY
FARMACIA SAN JORGE;PHARMACY
FARMERSVILLE FAMILY PRACTICE;PHARMACY
FARMVET.COM;PHARMACY
FAST ACCESS SPECIALTY;PHARMACY
FATHER JOSEPH OBRIEN HEALTH CLINIC;PHARMACY
FERGESON DRUG;PHARMACY
FERRAN PHARMACY;PHARMACY
FFACTS PHARMACY;PHARMACY
FHC MEDICAID PHARMACY;PHARMACY
FIFTY50 PHARMACY;PHARMACY
FIKES PHARMACY;PHARMACY
FIRST CALL PHARMACY LLC;PHARMACY
FIRST CARE PHARMACY;PHARMACY
FIRST CHOICE EMERGENCY ROOM;PHARMACY
FIRST CHOICE PHARMACY;PHARMACY
FIRST PHARMACY CHILDRENS MEDICAL CENTER;PHARMACY
FIRST PHARMACY PAVILION;PHARMACY
FIRST STREET SURGICAL CENTER;PHARMACY
FIRST SURGICAL HOSPITAL;PHARMACY
FIRST SURGICAL WOODLANDS;PHARMACY
FISH POND SURGERY CENTER;PHARMACY
FISHER COUNTY HOSPITAL;PHARMACY
FLOWER MOUND EMERGENCY CENTER;PHARMACY
FLOWER MOUND PHARMACY;PHARMACY
FMC PHARMACY SERVICES;PHARMACY
FOCUS EXPRESS MAIL PHARMACY;PHARMACY
FONDREN FOUNDATION PHARMACY AT SMITH;PHARMACY
